,Zetten,Fikkersdries,Hemmen,Sijmons
B39F0739-002,5172.649154417038,8913.951290171499,1544.6951695188247,17026.31814367352
B39H0382-003,1088.3317239509142,4481.195743979275,4241.9272265452455,12307.311847605124
B40C3510-002,8853.965779821328,5479.768972152549,12460.507453362621,4832.114732818789
B40A0439-004,10357.878668124657,6466.055233149713,13856.226404448955,2558.193224017476
B39F2953-001,2949.3356612826806,3955.6013603316933,4277.972094765423,11756.336300194822
B40C0611-001,3050.675616832387,5227.880573985792,5914.79955181601,12240.210593602545
HEM-P00-31001-001,3397.083907514109,7167.918605984007,328.8991958342252,15301.514634643248
B40A0613-001,6061.339084469188,2517.3312921265624,9604.691042603974,6418.995811020105
B40B0338-002,13151.713400298098,9003.339376399581,16453.04797141219,910.3575411137533
B39G2564-002,11809.345992113926,15966.356698839367,8674.905027375087,24082.272600671855
B40B0443-001,11496.31095164505,7781.312618388297,15058.36024163102,2969.328878909227
B40D2286-001,12416.959258655617,9030.462469854054,16035.780986061556,4601.3056831162785
B40A0538-001,1865.9281715430673,2833.6532392784707,5495.270046232494,10607.423662716375
B40D2289-002,14151.1188374254,11305.70982753527,17767.5908286558,7532.577621770743
B40B0376-001,13064.578391259267,9008.214136451566,16472.60664292231,1163.2089905686016
B40A0606-001,4610.482420555048,420.80686654915064,7832.502037090062,7772.535272575621
B40A0608-001,5708.177793231045,1652.1072522028037,9088.31975801232,6566.577517917284
B39F2967-001,6753.87221234293,10807.357608745624,3407.861611128937,18950.910079602887
B40C0421-001,3057.486031079582,5216.798892086353,5930.172391702094,12222.276433704721
B40B0341-002,12583.821899884979,8564.187302797412,16019.588550660337,1179.769047953423
B39H0384-002,3299.8055523867947,7500.882506577455,2063.6489830577475,15550.68057102658
B40C3508-002,7899.74839171913,7186.312394707015,11203.587897041463,10234.274815858189
B40A0611-002,4843.794695524526,1787.4820136858211,8412.923071739435,7623.359447083662
B40B0376-005,13064.578391259267,9008.214136451566,16472.60664292231,1163.2089905686016
B40A0649-001,3891.8162877665145,1767.008438886632,7491.191489447926,8606.386935368773
B40B0338-003,13151.713400298098,9003.339376399581,16453.04797141219,910.3575411137533
B40D2302-001,14854.117729907342,11277.99353632572,18455.08757902755,5049.176540438713
B40D2286-002,12416.959258655617,9030.462469854054,16035.780986061556,4601.3056831162785
B40D2290-002,15114.124416587283,12439.873797067768,18709.533615324228,8755.490656106176
B40A0614-001,8495.210778054927,4471.196697892265,11917.456644813934,3826.125273237792
B40A2139-002,5924.329237908383,1838.477711547787,8941.551277739707,6777.8659920736845
B40B1725-002,13835.695981609899,9943.111323599316,17344.874201503768,2746.4673526580436
B40B0343-003,11610.555371166112,7544.938959105465,15009.659516539623,925.3033895229745
B40A0683-001,6523.53276370527,2326.880031388254,9756.537121095049,5853.218219884333
B40B0378-003,12830.892925852517,8635.042212030614,16003.584136450452,1468.9146145948778
B40A2137-002,2796.7273309317147,2589.4069241690945,5215.994475335887,10509.426819928485
B40A0620-002,9014.214565354387,5359.966832892183,12576.741089164429,4090.3305366212985
B39F0749-001,3158.7213261490724,7291.523318049375,1233.808165324088,15412.90663141176
B40A0314-001,3732.3813298798796,483.9751208365616,7050.706431928235,8580.163652093215
B40D2292-002,16658.312712938456,13692.331876541362,20279.055167768307,8832.710825805925
B40D2297-001,18145.3163667029,14833.946951305668,21774.28644808673,8744.941232499988
B40B0311-002,12011.83239894093,7902.941136526095,15368.654261548709,353.82177549805465
B39F0327-001,551.5136388529289,3992.2384665545424,3581.604995390842,12122.413376003526
B40A0214-001,4614.700417292356,416.80458861289304,7879.253610111087,7729.444610780546
B40B0441-005,11254.87434883327,7226.405526561574,14682.260949707488,1376.0554518292179
B39F2952-001,1454.261015935264,5623.1031849802275,2333.160083208484,13722.371413679582
B40B0434-001,14021.338410604463,10026.117014677822,17475.63982739213,2299.3040558230314
B40B0310-002,12039.759320602094,7927.048163850894,15392.182802305551,305.21522225061574
B39H0387-001,2111.153778077582,4961.235220309818,4960.909164474082,12436.382871003992
B40C3512-001,4054.1135552837877,3963.3132783079227,7541.441171166342,10072.323541744778
B39H3457-001,2790.446524845892,6818.3090834455725,3352.930598044927,14653.624992011677
B40A2161-002,4386.157781358126,401.5825557384983,7737.603509785166,7903.2471302653685
B39F0738-001,3518.3848799669754,7205.799047381385,451.93870746609707,15328.402199548542
B40A0400-002,4339.345478963697,138.77121352839646,7603.471190065949,8006.618384833587
B39F0750-001,2943.4845086171395,6885.007004332242,718.1460423640987,15029.358044237744
B40B0342-002,12320.415692852728,8240.63267220216,15707.187548458447,567.8070822583278
B39H0381-002,3990.6448027051697,8075.34090181172,3507.764574425094,15908.778379548387
B40A0603-001,3932.016725757387,269.78796640979596,7204.23740550993,8410.346553260002
B39F0746-001,4665.0587286075925,8721.247413627481,1461.5265095656957,16862.791533397336
B39H0385-001,2149.2258418173915,6299.459188302493,2808.335098216978,14264.38065167009
B40A0685-001,5760.5023109700805,1559.3280319556302,8967.941230270826,6642.236145042497
B39F0744-003,2504.2875560886314,4679.535634803559,3232.204028371403,12658.459469657857
B39H3488-002,6173.5676111505045,10352.390070494497,3396.4374395521986,18447.043390882278
B40D2294-002,18540.251764668483,15336.603735575072,22170.029679075174,9484.135862578327
B40D0313-001,18165.125199043192,14743.537877389273,21788.573919659077,8341.529503194408
B40A2136-001,5769.956314799246,1988.1621557097478,8585.048239877286,7309.657021758256
B39H3488-001,6173.5676111505045,10352.390070494497,3396.4374395521986,18447.043390882278
B40A2137-001,2796.7273309317147,2589.4069241690945,5215.994475335887,10509.426819928485
B40B0379-003,11888.553105460664,8145.438335686641,15444.623827297764,2836.4848490370305
B39H3455-001,1671.7436884556485,5532.38899812698,3691.534718544621,13362.425987234672
B39H0383-002,3381.1087016641386,5843.165098881007,5912.6216709575765,12824.514031532373
B40D2293-001,18136.954359564163,15103.470611704695,21760.40771442855,9768.616508786681
B40C0549-001,3985.137065427853,3119.2291496723683,7589.052233759772,9352.778895907893
B40A0664-001,3508.7400002774634,986.8818006948025,6973.72302658078,8767.94990968425
B40A0442-001,9410.31390120097,5251.092039142941,12704.318141972373,2903.678328823316
B39H0381-001,3990.6448027051697,8075.34090181172,3507.764574425094,15908.778379548387
B39H3458-001,2495.135255123029,6028.347846416665,4358.692093591197,13620.013560042442
B39F0578-001,1653.0474459388167,3140.907319165708,4338.023624691013,11268.057126992344
B40D2305-001,17595.430799159905,14203.428813673447,21220.475846849746,7970.128551634899
B40D2299-001,17030.499307103986,14172.527493028836,20641.190534022477,9511.18012499384
B39G0288-002,10283.45443187593,14430.040564061945,7129.917472645453,22552.65928356023
B39F2964-001,7940.795058475779,11979.40612524919,4545.8901693373255,20123.760246855574
B40A0603-002,3932.016725757387,269.78796640979596,7204.23740550993,8410.346553260002
B39F0752-002,2781.328847398142,6881.817423113288,1197.4195524091501,15011.24841390185
B40C0551-003,3444.20307622052,3454.4406632417395,6992.912811933641,10083.437043315593
B40C3536-002,11489.876689562776,8984.340388639286,15084.147711929407,7344.597840404761
B40B1733-001,13004.082447328374,9276.003598392826,16568.054378261182,3210.051131687372
B40B0349-001,12698.057111543696,8595.065970508706,16061.120592674988,545.1472605999759
B39F0736-001,4508.435187443677,8390.394448807581,923.751689404468,16528.724021784303
B40A0443-002,9786.783164112621,5598.133208120173,12826.343370730285,3378.9303783732344
B39H0380-003,4529.578164713202,8713.33807740996,2153.2708278716837,16802.68762353812
B40A2160-002,4837.869382649812,651.6428260796517,8117.65960437173,7492.724511585157
B39F0739-003,5172.649154417038,8913.951290171499,1544.6951695188247,17026.31814367352
B39F2954-001,3005.0658567219302,4340.75828373385,3973.5254502383245,12146.47644194657
B40D2296-001,11688.304430548525,8876.986748991229,15309.420303527106,6464.211578847728
B40A0684-001,3616.3056339250684,1308.552961685116,7157.831567364723,8715.942211648791
B40B0343-002,11610.555371166112,7544.938959105465,15009.659516539623,925.3033895229745
B40D2288-001,12201.814595864314,9290.66244601354,15827.127508076304,6315.9081883119725
B39F0740-003,2147.4569587155174,6331.075562805277,1947.6164252726048,14421.408120162667
B40A2141-002,1804.005354519747,2732.8237839859853,4735.517988971991,10870.162588426025
B40A0422-002,2706.9050292461693,1672.1411298128423,6218.547882207383,9576.244750473452
B39F0736-003,4508.435187443677,8390.394448807581,923.751689404468,16528.724021784303
B40A2160-001,4837.869382649812,651.6428260796517,8117.65960437173,7492.724511585157
B40A0400-001,4339.345478963697,138.77121352839646,7603.471190065949,8006.618384833587
B40C0393-001,10887.332442758234,7866.9336165133245,14517.241848265101,5588.301805383051
B40B0434-005,14021.338410604463,10026.117014677822,17475.63982739213,2299.3040558230314
B40A2161-003,4386.157781358126,401.5825557384983,7737.603509785166,7903.2471302653685
B39F0579-005,3127.7663445024864,7064.316868961126,553.470170462505,15208.646374512457
B40A0442-003,9410.31390120097,5251.092039142941,12704.318141972373,2903.678328823316
B40A0687-002,3719.5026652187366,1406.1504858588396,6535.911454875833,9151.724769512955
B40A0663-001,10281.831000319746,6393.268538357389,13781.186845878685,2618.1986450555055
B40A2159-003,6676.351028254096,2709.402983431444,9524.605789871233,6463.087949059505
B39F0314-001,2341.5669367190753,3487.236274518756,4274.883025419556,11470.888128330036
B40A0620-001,9014.214565354387,5359.966832892183,12576.741089164429,4090.3305366212985
B40C3509-001,8982.649280524853,6286.985598141829,12607.515631372635,6384.5628552519465
B40C3504-002,6854.0810233532775,3693.049374226327,10463.799944619535,6215.2523724031425
B39F0743-001,3446.4013300111283,6495.20692907915,1773.690660460869,14508.18207015698
B39F0578-003,1653.0474459388167,3140.907319165708,4338.023624691013,11268.057126992344
B40A0400-007,4339.345478963697,138.77121352839646,7603.471190065949,8006.618384833587
B39E0275-002,9730.82799647149,13691.467581184532,6224.636789944855,21827.55028343172
B39F0744-002,2504.2875560886314,4679.535634803559,3232.204028371403,12658.459469657857
B40B0343-001,11610.555371166112,7544.938959105465,15009.659516539623,925.3033895229745
B40A0534-002,3852.323483585488,1726.331296178099,7448.307630393951,8627.257746125431
B40C0414-003,6119.469888735119,4412.422488716942,9707.97341045816,8304.472844310692
B39H3484-001,6390.3066095125605,10586.38031713082,4231.139910019903,18567.518368386107
B40B1729-002,13384.329915042137,9368.386951075885,16823.778709939677,1672.73405593761
B40B1733-002,13004.082447328374,9276.003598392826,16568.054378261182,3210.051131687372
B40B1725-001,13835.695981609899,9943.111323599316,17344.874201503768,2746.4673526580436
B39H3454-002,1632.0820504708252,5750.973097399417,3055.5750463734657,13710.182034233427
B40A0666-001,1870.8053664493889,2829.9257104431586,5500.121870950296,10602.621525919603
B39H0382-002,1088.3317239509142,4481.195743979275,4241.9272265452455,12307.311847605124
B39F0746-002,4665.0587286075925,8721.247413627481,1461.5265095656957,16862.791533397336
B40D2298-002,12268.343051792668,9457.601568694157,15887.60513208393,6683.605455007175
B39F2951-001,3158.182776925575,3760.469547667528,4614.020963590095,11474.929014979429
B40B0379-004,11888.553105460664,8145.438335686641,15444.623827297764,2836.4848490370305
B39F0745-004,101.226628151443,4174.966225991013,3709.190866081197,12232.565514561842
B40B0338-001,13151.713400298098,9003.339376399581,16453.04797141219,910.3575411137533
B40C0550-003,2175.5068240200994,3229.8985319398544,5765.127382648444,10714.963375810983
B39H3461-002,1583.99283927329,5760.688779019356,2802.284718988658,13769.037192550262
B39G2554-001,11571.991038327638,15726.205310916182,8429.33137432403,23844.18494354323
B40A0400-003,4339.345478963697,138.77121352839646,7603.471190065949,8006.618384833587
B40A2138-001,7797.383558834364,4327.615206182404,11382.506102205,5211.095752811548
B40A0632-001,6318.676773152777,3141.3492795068278,9919.189685850199,6525.141848647475
B40A0441-001,10646.72013774001,6482.920091915826,13927.862394685904,1710.4322556372254
B40B0417-001,12415.513146204656,8309.067303143338,15774.862699910242,320.5046483060704
B39H3489-001,6436.668866627614,10636.417768845107,3935.965842132597,18682.80447424793
B40B0339-001,12982.626953279721,9104.347042214997,16495.895932742686,2336.810513443413
B40C3507-001,3830.489795664693,3475.263386212669,7389.535552456591,9792.678927430425
B40B0434-003,14021.338410604463,10026.117014677822,17475.63982739213,2299.3040558230314
B40B0419-002,13290.097997098055,9094.896260440013,16463.813276078876,1687.9737722309642
B39H0380-001,4529.578164713202,8713.33807740996,2153.2708278716837,16802.68762353812
B40A2135-001,6005.242075537239,2023.1239333526098,8928.134666540218,6884.115260089804
B39F0737-003,3958.037694641427,7687.857313098723,420.12524186128866,15811.016624152187
B40B0376-003,13064.578391259267,9008.214136451566,16472.60664292231,1163.2089905686016
B40B0349-003,12698.057111543696,8595.065970508706,16061.120592674988,545.1472605999759
B39H0386-001,2619.3506717043165,6570.031371229126,3561.747327348941,14362.498705589069
P39F0006-001,2992.7899186066356,6991.86713725945,771.2942895032716,15134.781551331
B40A0609-002,6441.3996363128745,2358.004352546293,9813.605396642964,5833.10897367919
B39F0740-002,2147.4569587155174,6331.075562805277,1947.6164252726048,14421.408120162667
B40A0617-001,10753.14886555059,6662.675004347014,14129.344521330368,1559.4788970534523
B39H0387-002,2111.153778077582,4961.235220309818,4960.909164474082,12436.382871003992
B40C3534-001,11046.994943373727,8354.738549432512,14662.218645472234,6640.555167444279
B39G2564-001,11809.345992113926,15966.356698839367,8674.905027375087,24082.272600671855
B40B0378-001,12830.892925852517,8635.042212030614,16003.584136450452,1468.9146145948778
B39F2968-002,7273.974434292913,11271.253620204518,3817.753927500987,19414.507066368864
B40A0534-001,3852.323483585488,1726.331296178099,7448.307630393951,8627.257746125431
B40B0349-005,12698.057111543696,8595.065970508706,16061.120592674988,545.1472605999759
B40C0550-001,2175.5068240200994,3229.8985319398544,5765.127382648444,10714.963375810983
B39F0748-001,3217.9251291653077,7288.228267799411,899.4625956760898,15424.915035408998
B40A0443-003,9786.783164112621,5598.133208120173,12826.343370730285,3378.9303783732344
B39H0388-001,907.6698341676832,5001.734920856148,3366.603089818787,12986.821177903983
B40C3502-001,8152.232185605662,4817.31921816525,11758.039380824497,5241.530588883492
B40B0342-003,12320.415692852728,8240.63267220216,15707.187548458447,567.8070822583278
B40B0303-003,12084.372534541491,7965.956893875898,15429.9684600971,230.5609938682242
B39F0300-001,6156.475188041351,10187.474028277034,2776.8368976394477,18331.7131696772
B40B0378-005,12830.892925852517,8635.042212030614,16003.584136450452,1468.9146145948778
B40C3536-001,11489.876689562776,8984.340388639286,15084.147711929407,7344.597840404761
B39H3461-001,1583.99283927329,5760.688779019356,2802.284718988658,13769.037192550262
B40C0414-001,6119.469888735119,4412.422488716942,9707.97341045816,8304.472844310692
B39F0747-001,3733.324762969634,7806.846897958569,938.9708809681197,15944.434074392939
B40B0379-001,11888.553105460664,8145.438335686641,15444.623827297764,2836.4848490370305
B40C0060-001,12111.49107011015,10427.08100921736,15542.740750069677,9970.516821280238
B39F0744-001,2504.2875560886314,4679.535634803559,3232.204028371403,12658.459469657857
B40A0681-002,5697.143970141977,1532.7580119272855,8999.121263360277,6612.408510770983
B40B0415-004,11145.607308473227,7050.779846917946,14517.612102778266,1176.1325110003477
B40B0443-002,11496.31095164505,7781.312618388297,15058.36024163102,2969.328878909227
B40A0215-001,4603.0048093274445,405.10576455214226,7838.380774543574,7767.163881389087
B40D2298-001,12268.343051792668,9457.601568694157,15887.60513208393,6683.605455007175
B40C0421-003,3057.486031079582,5216.798892086353,5930.172391702094,12222.276433704721
B39F0745-002,144.36847825466222,4301.849301082855,3612.1898571235097,12356.984910114648
HEM-P00-31003-003,3397.083907514109,7167.918605984007,328.8991958342252,15301.514634643248
B40C0519-001,10764.11939125061,8949.945150818721,14251.560169555392,8960.80761317633
B40C0439-003,8364.319670445771,5136.850464423635,11981.419337845116,5353.923213621688
B40D2290-001,15114.124416587283,12439.873797067768,18709.533615324228,8755.490656106176
B40A0442-002,9410.31390120097,5251.092039142941,12704.318141972373,2903.678328823316
B40A0687-001,3719.5026652187366,1406.1504858588396,6535.911454875833,9151.724769512955
B39E0275-001,9730.82799647149,13691.467581184532,6224.636789944855,21827.55028343172
